u|v|s
1097.0|1226.0|0.0
1097.0|5912.0|0.0
1097.0|2794.0|0.0
1097.0|3245.0|0.0
1097.0|3133.0|0.0
1097.0|3492.0|0.0
1097.0|1354.0|0.0
1097.0|4056.0|0.0
1097.0|8695.0|0.0
1097.0|1432.0|0.0
1097.0|6133.0|0.0
1097.0|4051.0|0.0
1097.0|3178.0|0.0
1097.0|178.0|0.0
1097.0|3467.0|0.0
1097.0|1140.0|0.0
1097.0|6518.0|0.0
1097.0|1060.0|0.0
1097.0|5346.0|0.0
1097.0|3985.0|0.0
1097.0|1188.0|0.0
1097.0|4092.0|0.0
1097.0|1636.0|0.0
1097.0|12.0|0.0
1097.0|2834.0|0.0
1097.0|2851.0|0.0
1097.0|256.0|0.0
1097.0|8372.0|0.0
1097.0|1730.0|0.0
1097.0|1291.0|0.0
1097.0|4480.0|0.0
1097.0|2617.0|0.0
1097.0|3837.0|0.0
1097.0|2387.0|0.0
1097.0|3941.0|0.0
1097.0|3230.0|0.0
1097.0|3312.0|0.0
1097.0|2024.0|0.0
1097.0|8262.0|0.0
1097.0|6065.0|-0.2937548522407593
1097.0|8050.0|0.0
1097.0|3798.0|0.0
1097.0|1943.0|0.0
1097.0|3394.0|0.0
1097.0|5703.0|0.0
1097.0|921.0|0.0
1097.0|3193.0|-0.21081851067789192
1097.0|3070.0|0.0
1097.0|1771.0|0.0
1097.0|3447.0|0.0
1097.0|7091.0|0.0
1097.0|5658.0|0.0
1097.0|6301.0|0.0
1097.0|1021.0|0.0
1097.0|5860.0|0.0
1097.0|755.0|0.0
1097.0|3280.0|0.0
1097.0|3321.0|0.0
1097.0|1641.0|0.0
1097.0|3228.0|0.0
1097.0|826.0|0.0
1097.0|5547.0|0.0
1097.0|3408.0|0.0
1097.0|3488.0|0.0
1097.0|3059.0|-0.540107591929689
1097.0|2067.0|0.0
1097.0|3407.0|0.0
1097.0|8663.0|0.0
1097.0|762.0|0.0
1097.0|3996.0|0.0
1097.0|1051.0|0.0
1097.0|1027.0|0.0
1097.0|5534.0|0.0
1097.0|1961.0|0.0
1097.0|6890.0|0.0
1097.0|1132.0|0.0
1097.0|4691.0|0.0
1097.0|119.0|0.0
1097.0|1290.0|0.0
1097.0|333.0|0.0
1097.0|6187.0|0.0
1097.0|123.0|0.0
1097.0|5803.0|0.0
1097.0|1818.0|0.0
1097.0|4512.0|0.0
1097.0|423.0|0.0
1097.0|3187.0|0.0
1097.0|3271.0|0.0
2316.0|780.0|0.0
2316.0|6089.0|0.0
